From Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,SR,BP,AT,RF,TOT-RF,AQI
01-01-2024 00:00,173.91,259.59,4.95,3.3,8.2,50.63,4.05,1.37,7.36,1.42,2.74,None,75.02,0.83,144.81,38.23,987.63,10.73,0,0,350
02-01-2024 00:00,181.09,275.94,10.18,3.17,13.34,56.43,3.7,1.59,8.87,1.57,3.41,None,72.5,0.68,123.8,52.67,986.92,10.36,0,0,353
03-01-2024 00:00,186.42,264.86,22.72,26.9,34.79,56.94,1.9,2.03,8.03,4.12,10.56,None,84.26,0.85,101.49,32.82,986.81,9.72,0,0,337
04-01-2024 00:00,226.35,330.76,16.92,50.46,40.69,53.73,4.22,1.41,3.24,5.38,14.85,None,82.69,0.76,230.73,17.4,987.06,10.16,0,0,378
05-01-2024 00:00,174.19,289.28,14.02,46.62,36.2,56.67,4.57,1.65,2.99,5.3,14,None,85.81,0.87,163.8,12.15,987.05,10.76,0,0,358
06-01-2024 00:00,171.69,248.97,12.03,52.38,37.74,48.56,8.4,1.8,10,5.53,25.11,None,78.41,1.01,119.6,30.98,988.73,10.53,0,0,325
07-01-2024 00:00,180.29,266.34,11.93,50.37,36.59,44.16,12.71,1.27,15.35,4.3,12.74,None,76.43,0.87,174.48,49.21,989.28,10.72,0,0,351
08-01-2024 00:00,241.08,403.54,36.27,69.78,65.57,48.49,13.37,1.9,10.83,5.08,15.53,None,82.46,0.76,156.99,33.31,989.05,10.18,0,0,363
09-01-2024 00:00,145.42,222.35,5.5,42.29,26.97,43.8,11.05,1.17,9.45,5.1,15.7,None,82.04,0.97,201.14,21.42,989.11,10.29,0,0,369
10-01-2024 00:00,155.51,245.41,7.48,39.95,27.67,50.45,9.91,1.85,11.45,5.15,15.76,None,78.62,0.91,235.92,47.14,987.66,9.74,0,0,305
11-01-2024 00:00,218.23,335.5,33.11,65.85,58.71,53.44,9.67,2.2,28.21,5.01,19.96,None,71.04,0.72,223.24,68.89,984.69,11.12,0,0,
12-01-2024 00:00,192.67,257.78,29.53,57.65,54.72,49.02,10.29,1.26,21.92,5.83,20.63,None,78.45,0.78,215.22,58.7,985.44,9.97,0,0,360
13-01-2024 00:00,380.23,517,117.32,92.06,144.52,65.48,16.87,2.82,17.75,10.2,29.4,None,83.05,0.73,150.52,39.95,984.85,9.6,0,0,418
14-01-2024 00:00,279.88,464.17,119.67,88.1,143.33,65.84,18.68,2.39,2.96,9.96,30.3,None,80.35,0.72,179.45,50.79,984.77,10.01,0,0,451
15-01-2024 00:00,200.48,260.9,82.55,72.95,105.59,51.83,16.94,1.3,2.94,7.07,26.13,None,75.99,0.73,208.38,61.24,984.31,10.21,0,0,375
16-01-2024 00:00,243.36,296.02,79.98,65.22,99.77,60.83,15.73,1.78,2.92,11.55,41.49,None,84.45,0.98,161.56,49.52,982.73,9.4,0,0,373
17-01-2024 00:00,194.36,267.7,25.98,55.54,51.28,56.73,16.19,1.22,2.92,11.2,39.8,None,77.71,0.91,150.43,61.42,982.74,9.8,0,0,359
18-01-2024 00:00,159.58,232.68,29.2,60.41,55.87,50.12,15.87,1.24,2.9,11.2,39.8,None,81.9,0.86,145.34,54.89,984.77,9.97,0,0,312
19-01-2024 00:00,181.01,250.72,18.35,57.89,45.96,51.34,12.49,0.72,2.88,11.2,39.8,None,83.07,0.96,167.92,33.35,986.44,9.65,0,0,359
20-01-2024 00:00,182.56,253.6,36.86,58.16,58.83,49.22,13.46,1.55,2.97,11.2,39.8,None,75.47,0.79,169.61,50.76,986.65,10.28,0,0,329
21-01-2024 00:00,192.18,267.74,40.07,59.29,63.92,51,11.31,1.16,2.97,11.2,39.8,None,83.43,0.81,229.57,48.88,986.02,9.47,0,0,370
22-01-2024 00:00,202.23,300.27,25.99,55.64,50.75,52.24,12.96,1.4,2.9,11.2,39.8,None,77.12,0.91,158.88,54.58,987.1,9.82,0,0,339
23-01-2024 00:00,231.95,340.06,11.2,70.73,46.79,57.28,11.98,1.28,2.94,11.2,39.8,None,79.09,1.03,146.4,49.94,986.01,10.56,0,0,368
24-01-2024 00:00,254.41,364.36,39.04,72.85,70.46,59.1,10.01,1.55,2.99,11.2,39.8,None,79.76,0.87,138.43,44.73,986.11,10.25,0,0,419
25-01-2024 00:00,221.51,312.32,66.64,80.35,96.91,57.51,11.33,1.86,2.95,11.2,39.8,None,80.12,0.81,171.15,57.61,988.15,10.11,0,0,354
26-01-2024 00:00,360.58,443.34,178.95,105.03,201.24,67.09,11.25,2.38,2.92,11.2,39.8,None,80.8,0.62,177.12,53.49,988.74,10.51,0,0,446
27-01-2024 00:00,179.26,253.22,104,76.04,124.96,46.01,12.09,1.58,2.93,11.2,39.8,None,69.67,0.78,222.77,75.95,986.86,11.64,0,0,384
28-01-2024 00:00,255.44,362.58,140.02,94.37,164.01,61.57,8.43,1.39,2.88,11.2,39.8,None,79.86,0.78,156.52,41.39,985.73,10.68,0,0,348
29-01-2024 00:00,212.02,305.58,41.27,67.3,69.34,56.09,5.48,1.81,2.91,9.04,30.79,None,78.68,0.8,165.21,61.57,985.67,11.69,0.19,18,362
30-01-2024 00:00,292.6,380.28,66.07,76.57,94.2,60.82,5.61,1.47,4.05,8.64,25.04,None,85.06,0.75,187.49,44.3,984.75,11.36,0,0,408
31-01-2024 00:00,295.55,335.94,84.78,77.62,110.11,66.16,8.07,1.29,3.83,9.89,27.32,None,89.31,0.84,145.66,27.11,983.77,11.28,0.11,10,437
01-02-2024 00:00,101.11,110,9.49,43.99,31.23,46.77,8.11,0.95,16.32,10.2,28.9,None,85.41,1.17,151.7,39.55,983.94,12.39,0.09,8.5,
02-02-2024 00:00,127.03,154.72,41.57,50.47,61.08,43.65,8.16,0.98,18.33,10.2,28.9,None,83.4,0.8,209.59,86.2,987.04,11.69,0,0,263
03-02-2024 00:00,83.98,140.89,48.42,65.47,74.64,33.97,10.4,1.17,22.71,10.2,28.9,None,67.16,0.78,221.77,67.36,985.26,12.48,0,0,210
04-02-2024 00:00,149.69,188.71,60.3,60.2,81.55,49.49,4.66,1.18,15.59,None,None,None,81.61,0.92,157.66,43.52,984.41,12.84,0.02,1.5,290
05-02-2024 00:00,95.66,130.58,10.7,41.37,30.85,43.51,5.47,0.95,24.15,None,None,None,78.64,0.84,213.22,78.2,985.39,13.08,0,0,251
06-02-2024 00:00,71.93,126.1,34.23,54.43,54.97,28.96,7.4,1.15,33.59,4.56,15.84,None,71.61,0.89,223.2,108.79,987.29,11.72,0,0,179
07-02-2024 00:00,78.24,138.98,10.08,54.64,37.29,29.76,9.99,0.73,50.67,2.85,11.71,None,63.55,1.08,242.83,94.49,987.86,11.83,0,0,156
08-02-2024 00:00,72.39,119.36,1.88,41.16,23.37,30.81,11.36,0.84,63.69,2.06,8.63,None,63.06,1.11,226.65,100.25,986.1,12.21,0,0,173
09-02-2024 00:00,67.55,135.09,87.6,67.43,104.81,27.35,12.32,1.5,50.43,3.32,15.58,None,61.51,0.79,221.95,115.03,987.05,12.44,0,0,151
10-02-2024 00:00,186.33,279.88,160.93,96.19,181.75,43.36,11.05,1.87,35.84,7.87,38.29,None,70.77,0.72,189.26,83.98,989.45,12.22,0,0,295
11-02-2024 00:00,174.56,241.57,66.76,77.04,95.29,47.39,13.19,1.41,38.58,5.6,25.5,None,70.66,0.71,208.83,96.25,988.9,12.8,0,0,347
12-02-2024 00:00,179.02,245.66,53.99,78.74,85.78,47.45,12.88,0.91,47.09,4.61,17.96,None,72.91,0.71,183.17,68.88,987.95,12.83,0,0,335
13-02-2024 00:00,211.58,300.35,151.41,98.6,175.39,49.93,13.07,1.92,33.97,3.73,15.44,None,73.94,0.59,212.31,65.38,987.11,12.88,0,0,367
14-02-2024 00:00,205.13,282.27,66.32,77.63,94.64,49.79,13.62,1.87,49.24,4.3,23.1,None,72.44,0.68,230.99,101.55,986.59,13.62,0,0,368
